Product,Date,MRP,Discount,CLP,Platform,City,City Tier,Impressions,Clicks,Spend,Quantity Sold,Competitor,Competitor MRP,Competitor Discount,Competitor Price
Cream ,4/1/2024,560,0.2,448,Myntra,Amritsar,Tier 3,3925,91,378,7,Competitor A,515,0.2,412
Cream ,4/1/2024,560,0.2,448,Myntra,Bangalore,Tier 1,3348,66,167,3,Competitor A,515,0.2,412
Cream ,4/1/2024,560,0.2,448,Flipkart,Varanasi,Tier 3,6124,169,1843,7,Competitor A,515,0.2,412
Cream ,4/1/2024,560,0.2,448,Myntra,Kolkata,Tier 1,6885,124,475,7,Competitor A,515,0.2,412
Cream ,4/1/2024,560,0.2,448,Nykaa,Amritsar,Tier 3,7396,84,497,3,Competitor A,515,0.2,412
Cream ,4/1/2024,560,0.2,448,Myntra,Kanpur,Tier 2,8218,365,1847,13,Competitor A,515,0.2,412
Cream ,4/1/2024,560,0.2,448,Myntra,Lucknow,Tier 2,3159,249,187,8,Competitor A,515,0.2,412
Cream ,4/1/2024,560,0.2,448,Myntra,Jaipur,Tier 2,2554,49,208,1,Competitor A,515,0.2,412
Cream ,4/2/2024,560,0.2,448,Flipkart,Bangalore,Tier 1,7618,456,670,21,Competitor A,515,0.15,437.75
Cream ,4/2/2024,560,0.2,448,Amazon,Bhopal,Tier 2,11604,359,371,33,Competitor A,515,0.15,437.75
Cream ,4/2/2024,560,0.2,448,Flipkart,Kolkata,Tier 1,6802,131,2559,5,Competitor A,515,0.15,437.75
Cream ,4/2/2024,560,0.2,448,Flipkart,Pune,Tier 1,11778,235,2217,20,Competitor A,515,0.15,437.75
Cream ,4/2/2024,560,0.2,448,Nykaa,Patna,Tier 2,8066,504,3045,27,Competitor A,515,0.15,437.75
Cream ,4/2/2024,560,0.2,448,Amazon,Varanasi,Tier 3,10495,253,552,20,Competitor A,515,0.15,437.75
Cream ,4/2/2024,560,0.2,448,Myntra,Coimbatore,Tier 2,5073,97,2388,2,Competitor A,515,0.15,437.75
Cream ,4/2/2024,560,0.2,448,Purplle,Delhi,Tier 1,6306,214,3559,14,Competitor A,515,0.15,437.75
Cream ,4/2/2024,560,0.2,448,Nykaa,Visakhapatnam,Tier 2,9685,572,3369,33,Competitor A,515,0.15,437.75
Cream ,4/2/2024,560,0.2,448,Purplle,Vijayawada,Tier 3,2291,57,87,3,Competitor A,515,0.15,437.75
Cream ,4/2/2024,560,0.2,448,Purplle,Faridabad,Tier 2,6493,95,3595,7,Competitor A,515,0.15,437.75
Cream ,4/2/2024,560,0.2,448,Purplle,Jaipur,Tier 2,5340,150,1950,6,Competitor A,515,0.15,437.75
Cream ,4/2/2024,560,0.2,448,Nykaa,Kolkata,Tier 1,11922,517,4316,58,Competitor A,515,0.15,437.75
Cream ,4/2/2024,560,0.2,448,Nykaa,Madurai,Tier 3,5506,112,1004,4,Competitor A,515,0.15,437.75
Cream ,4/2/2024,560,0.2,448,Flipkart,Allahabad,Tier 3,12743,301,2204,12,Competitor A,515,0.15,437.75
Cream ,4/2/2024,560,0.2,448,Amazon,Kolkata,Tier 1,2788,126,832,7,Competitor A,515,0.15,437.75
Cream ,4/2/2024,560,0.2,448,Flipkart,Mumbai,Tier 1,3552,193,940,4,Competitor A,515,0.15,437.75
Cream ,4/2/2024,560,0.2,448,Purplle,Chennai,Tier 1,649,38,277,2,Competitor A,515,0.15,437.75
Cream ,4/2/2024,560,0.2,448,Amazon,Jodhpur,Tier 3,3723,38,81,2,Competitor A,515,0.15,437.75
Cream ,4/2/2024,560,0.2,448,Nykaa,Indore,Tier 2,10710,442,1299,18,Competitor A,515,0.15,437.75
Cream ,4/2/2024,560,0.2,448,Nykaa,Lucknow,Tier 2,3177,206,238,8,Competitor A,515,0.15,437.75
Cream ,4/2/2024,560,0.2,448,Flipkart,Delhi,Tier 1,6549,284,863,25,Competitor A,515,0.15,437.75
Cream ,4/2/2024,560,0.2,448,Flipkart,Visakhapatnam,Tier 2,9189,453,2735,39,Competitor A,515,0.15,437.75
Cream ,4/2/2024,560,0.2,448,Nykaa,Nagpur,Tier 2,4646,285,1652,14,Competitor A,515,0.15,437.75
